3D printing,"3D printing , or  additive manufacturing , is the construction of a three-dimensional object from a CAD model or a digital 3D model. The term ""3D printing"" can refer to a variety of processes in which material is deposited, joined or solidified under computer control to create a three-dimensional object, with material being added together (such as plastics, liquids or powder grains being fused together), typically layer by layer.  In the 1980s, 3D printing techniques were considered suitable only for the production of functional or aesthetic prototypes, and a more appropriate term for it at the time was rapid prototyping. As of 2019, the precision, repeatability, and material range of 3D printing have increased to the point that some 3D printing processes are considered viable as an industrial-production technology, whereby the term  additive manufacturing  can be used synonymously with  3D printing . One of the key advantages of 3D printing is the ability to produce very complex shapes or geometries that would be otherwise impossible to construct by hand, including hollow parts or parts with internal truss structures to reduce weight. Fused deposition modeling, or FDM, is the most common 3D printing process in use as of 2020.",https://en.wikipedia.org/wiki/3D printing
Acroyoga,"Acroyoga  (also written  Acro-Yoga  or  Acro Yoga ) is a physical practice which combines yoga and acrobatics. Acroyoga includes many types of (mostly recreational) partner and group acrobatics in which at least someone is lifted. As such it also draws on traditions of circus arts, cheer-leading, and dance acro.  Acroyoga is more vigorous than many traditional forms of yoga as exercise, and may lead to more injuries.",https://en.wikipedia.org/wiki/Acroyoga
Acting,"Acting  is an activity in which a story is told by means of its enactment by an actor or actress who adopts a character—in theatre, television, film, radio, or any other medium that makes use of the mimetic mode.  Acting involves a broad range of skills, including a well-developed imagination, emotional facility, physical expressivity, vocal projection, clarity of speech, and the ability to interpret drama. Acting also demands an ability to employ dialects, accents, improvisation, observation and emulation, mime, and stage combat. Many actors train at length in specialist programs or colleges to develop these skills. The vast majority of professional actors have undergone extensive training. Actors and actresses will often have many instructors and teachers for a full range of training involving singing, scene-work, audition techniques, and acting for camera.  Most early sources in the West that examine the art of acting (Greek:  ὑπόκρισις ,  hypokrisis ) discuss it as part of rhetoric.",https://en.wikipedia.org/wiki/Acting
Aerial silk,"Aerial silks  (also known as  aerial contortion ,  aerial ribbons ,   aerial tissues ,  fabric ,  ribbon , or  tissu , depending on personal preference) is a type of performance in which one or more artists perform aerial acrobatics while hanging from a fabric. The fabric may be hung as two pieces, or a single piece, folded to make a loop, classified as hammock silks. Performers climb the suspended fabric without the use of safety lines and rely only on their training and skill to ensure safety. They use the fabric to wrap, suspend, drop, swing, and spiral their bodies into and out of various positions. Aerial silks may be used to fly through the air, striking poses and figures while flying.  Some performers use dried or spray rosin on their hands and feet to increase the friction and grip on the fabric.",https://en.wikipedia.org/wiki/Aerial silk
Airbrushing,"An  airbrush  is a small, air-operated tool that sprays various media, most often paint but also ink and dye, and foundation by a process of nebulization. Spray painting developed from the airbrush and is considered to employ a type of airbrush.",https://en.wikipedia.org/wiki/Airbrush
Amateur radio,"Amateur radio , also known as  ham radio , is the use of radio frequency spectrum for purposes of non-commercial exchange of messages, wireless experimentation, self-training, private recreation, radiosport, contesting, and emergency communication. The term ""amateur"" is used to specify ""a duly authorised person interested in radioelectric practice with a purely personal aim and without pecuniary interest;"" (either direct monetary or other similar reward) and to differentiate it from commercial broadcasting, public safety (such as police and fire), or professional two-way radio services (such as maritime, aviation, taxis, etc.).  The amateur radio service ( amateur service  and  amateur-satellite service ) is established by the International Telecommunication Union (ITU) through the Radio Regulations. National governments regulate technical and operational characteristics of transmissions and issue individual station licenses with a unique identifying call sign, which must be used in all transmissions.  Amateur operators must hold an amateur radio license which is obtained by passing a government test demonstrating adequate technical radio knowledge and legal knowledge of the host government's radio regulations.     Radio amateurs are limited to the use of small frequency bands, the amateur radio bands, allocated throughout the radio spectrum, but within these bands are allowed to transmit on any frequency using a variety of voice, text, image, and data communications modes.  This enables communication across a city, region, country, continent, the world, or even into space. In many countries, amateur radio operators may also send, receive, or relay radio communications between computers or transceivers connected to secure virtual private networks on the Internet.  Amateur radio is officially represented and coordinated by the International Amateur Radio Union (IARU), which is organized in three regions and has as its members the national amateur radio societies which exist in most countries. According to an estimate made in 2011 by the American Radio Relay League, two million people throughout the world are regularly involved with amateur radio. About 830,000 amateur radio stations are located in IARU Region 2 (the Americas) followed by IARU Region 3 (South and East Asia and the Pacific Ocean) with about 750,000 stations. A significantly smaller number, about 400,000, are located in IARU Region 1 (Europe, Middle East, CIS, Africa).",https://en.wikipedia.org/wiki/Amateur radio
Animation,"Animation  is a method in which figures are manipulated to appear as moving images. In traditional animation, images are drawn or painted by hand on transparent celluloid sheets to be photographed and exhibited on film. Today, most animations are made with computer-generated imagery (CGI). Computer animation can be very detailed 3D animation, while 2D computer animation (which may have the look of traditional animation) can be used for stylistic reasons, low bandwidth, or faster real-time renderings. Other common animation methods apply a stop motion technique to two and three-dimensional objects like paper cutouts, puppets, or clay figures.  Commonly the effect of animation is achieved by a rapid succession of sequential images that minimally differ from each other. The illusion—as in motion pictures in general—is thought to rely on the phi phenomenon and beta movement, but the exact causes are still uncertain. Analog mechanical animation media that rely on the rapid display of sequential images include the phénakisticope, zoetrope, flip book, praxinoscope, and film. Television and video are popular electronic animation media that originally were analog and now operate digitally. For display on the computer, techniques like animated GIF and Flash animation were developed.  Animation is more pervasive than many people realize. Apart from short films, feature films, television series, animated GIFs, and other media dedicated to the display of moving images, animation is also prevalent in video games, motion graphics, user interfaces, and visual effects. The physical movement of image parts through simple mechanics—for instance moving images in magic lantern shows—can also be considered animation. The mechanical manipulation of three-dimensional puppets and objects to emulate living beings has a very long history in automata. Electronic automata were popularized by Disney as animatronics.  Animators are artists who specialize in creating animation.",https://en.wikipedia.org/wiki/Animation
Aquascaping,"Aquascaping  is the craft of arranging aquatic plants, as well as rocks, stones, cavework, or driftwood, in an aesthetically pleasing manner within an aquarium—in effect, gardening under water. Aquascape designs include a number of distinct styles, including the garden-like Dutch style and the Japanese-inspired nature style. Typically, an aquascape houses fish as well as plants, although it is possible to create an aquascape with plants only, or with rockwork or other hardscape and no plants.  Many aquarists believe that the art of aquascaping began in the 1930s in the Netherlands following the introduction of the Dutch style aquascaping techniques. With the increasing availability of mass-produced freshwater fish keeping products and popularity of fish keeping following the First World War, many artists began exploring the new possibilities of creating an aquarium that didn't have fish as the main attraction. Although the primary aim of aquascaping is to create an artful underwater landscape, the technical aspects of tank maintenance and the growth requirements of aquatic plants are also taken into consideration. Many factors must be balanced in the closed system of an aquarium tank to ensure the success of an aquascape. These factors include filtration, maintaining carbon dioxide at levels sufficient to support photosynthesis underwater, substrate and fertilization, lighting, and algae control. Aquascape hobbyists trade plants, conduct contests, and share photographs and information via the Internet. The United States-based Aquatic Gardeners Association has about 1,200 members.",https://en.wikipedia.org/wiki/Aquascaping
Art,"Art  is a diverse range of human activities involving the creation of visual, auditory or performing artifacts (artworks), which express the creator's imagination, conceptual ideas, or technical skill, intended to be appreciated primarily for their beauty or emotional power. Other activities related to the production of works of art include art criticism and the history of art.  The three classical branches of visual art are painting, sculpture, and architecture. Music, theatre, film, dance, and other performing arts, as well as literature and other media such as interactive media, are included in a broader definition of the arts. Until the 17th century,  art  referred to any skill or mastery and was not differentiated from crafts or sciences. In modern usage after the 17th century, where aesthetic considerations are paramount, the fine arts are separated and distinguished from acquired skills in general, such as the decorative or applied arts.  Though there is no generally agreed definition of what constitutes art, and ideas have changed over time, general descriptions typically include an idea of imaginative or technical skill stemming from human agency and creation. The nature of art and related concepts, such as creativity and interpretation, are explored in a branch of philosophy known as aesthetics.",https://en.wikipedia.org/wiki/Art
Astrology,"Astrology  is a pseudoscience that claims to divine information about human affairs and terrestrial events by studying the movements and relative positions of celestial objects. Astrology has been dated to at least the 2nd millennium BCE, and has its roots in calendrical systems used to predict seasonal shifts and to interpret celestial cycles as signs of divine communications. Many cultures have attached importance to astronomical events, and some—such as the Hindus, Chinese, and the Maya—developed elaborate systems for predicting terrestrial events from celestial observations. Western astrology, one of the oldest astrological systems still in use, can trace its roots to 19th–17th century BCE Mesopotamia, from where it spread to Ancient Greece, Rome, the Arab world and eventually Central and Western Europe. Contemporary Western astrology is often associated with systems of horoscopes that purport to explain aspects of a person's personality and predict significant events in their lives based on the positions of celestial objects; the majority of professional astrologers rely on such systems. Throughout most of its history, astrology was considered a scholarly tradition and was common in academic circles, often in close relation with astronomy, alchemy, meteorology, and medicine. It was present in political circles and is mentioned in various works of literature, from Dante Alighieri and Geoffrey Chaucer to William Shakespeare, Lope de Vega, and Calderón de la Barca. Following the end of the 19th century and the wide-scale adoption of the scientific method, researchers have successfully challenged astrology on both theoretical and experimental grounds, and have shown it to have no scientific validity or explanatory power. Astrology thus lost its academic and theoretical standing, and common belief in it has largely declined.",https://en.wikipedia.org/wiki/Astrology
